Date,Where,When,Who,What
7/30,Lobby,10:00 - ,Neil Ritter,Registration
,Terrace Lounge,15:00 - 18:00,Steve Colburn,"Pandanet City League Final 
Vancouver v.s. Greater Washington
(Available in live video)"
,BU Alley,15:00 - 17:00,Devin Fraze,Youth Pizza Party
,Ballroom,19:00 - 20:00,Andy Okun,Opening Ceremony
,,20:00 - 21:00,"Aja Huang
Hui Fan","AlphaGo Keynote: ""The Story of AlphaGo"""
,,21:00 - 21:05,Thomas Hsiang,IGF award presentation to Deepmind
,,,,
7/31,Ballroom,09:00 - 12:00,Matthew Hershberger,US Open (round 1)
,Terrace Lounge,09:00 - 12:00,Matthew Hershberger,US Open Master (round 1)
,,15:00 - 17:00,Paul Barchilon,Redmond Cup Final (round 1)
,,19:00 - 22:00,Matthew Hershberger,US Open Master (round 2)
,East Enclosure,10:30 - 12:00,Yilun Yang,Game Review (open rank)
,,13:00 - 14:50,William Shi,Game Review (4d+)
,,15:00 - 16:50,Mingjiu Jiang,Game Review (4d+)
,,19:00 - 21:00,Yilun Yang,Game Review (open rank)
,East Balcony (inside),13:00 - 14:50,Eric Lui,Game Review (1k-3d)
,,15:00 - 16:50,Calvin Sun,Game Review (1k-3d)
,East Enclosure (inside),13:00 - 14:50,Ryan Li,Game Review (5k-1k)
,,15:00 - 16:50,Andy Liu,Game Review (5k-1k)
,East Balcony,13:00 - 14:50,Stephanie Yin,Game Review (5k-)
,,15:00 - 16:50,Feng Yun,Game Review (5k-)
,Ballroom A,15:00 - 17:00,Lisa Scott,Women's Tournament (round 1)
,,19:30 - 21:00,Audrey Wang,9x9 Tournament
,Ballroom B,13:00 - 14:50,Liao Guiyong,Simul Games
,,,Zhou Jie,
,,,Ailin Hsiao,
,,,On Sojin,
,,,Cathy Li,
,,15:00 - 16:50,Ailin Hsiao,
,,,On Sojin,
,,,Ha Youngil,
,,,Cathy Li,
,,19:00 - 21:00,Liao Guiyong,
,,,Zhou Jie,
,,,Ha Youngil,
,,,Sakamoto Yasuo,
,,19:00 - 23:00,Andrew Hall,Evening League
,Ziskind Lounge,09:00 - 10:00,Robert Ehrlich,Non-player Gathering
,#312,19:00 - 21:00,Gurujeet Khalsa,National Go Center organizational meeting
,BU Alley,13:00 - 14:50,Mingjiu Jiang,Pro review/simul for Youth
,,13:00 - 15:00,Devin Fraze,Youth Lightning Tournament
,,15:00 - 16:50,Yilun Yang,Pro review/simul for Youth
,#315,13:00 - 14:50,Andy Liu,Lecture: The secret to get stronger
,,15:00 - 16:50,Guo Juan,Lecture: Typical mistakes: 30k - 20k
,#310-#311,13:00 - 14:50,Myungwan Kim,Teacher workshop: Liberty Racing (DDK)
,,15:00 - 16:50,Myungwan Kim,Lecture: Cross cut (dan level)
,,18:00 - 19:00,Lee Dahye,Teacher workshop: Secrets to 'Go more than Flower' Go center
,Auditorium,13:00 - 14:50,Maeda Ryo,Lecture
,,15:00 - 16:50,Stephanie Yin,Lecture: How to improve from one level to another (15k - 5k)
,,,,
8/1,Ballroom,09:00 - 12:00,Matthew Hershberger,US Open (round 2)
,Terrace Lounge,09:00 - 12:00,Matthew Hershberger,US Open Master (round 3)
,,13:00 - 15:00,Ted Terpstra,U16 Girl Tournament
,,19:00 - 22:00,Matthew Hershberger,US Open Master (round 4)
,East Enclosure,10:30 - 12:00,Feng Yun,Game Review (open rank)
,,13:00 - 14:50,Ailin Hsiao,Game Review (4d+)
,,15:00 - 16:50,Mingjiu Jiang,Game Review (4d+)
,,19:00 - 21:00,Jennie Shen,Game Review (open rank)
,East Balcony (inside),13:00 - 14:50,Jennie Shen,Game Review (1k-3d)
,,15:00 - 16:50,Zirui Song,Game Review (1k-3d)
,East Enclosure (inside),13:00 - 14:50,Andy Liu,Game Review (5k-1k)
,,15:00 - 16:50,Andy Liu,Game Review (5k-1k)
